index,case_id,title,question,baseline_run,k2_run,baseline_score,baseline_retrieval_score,baseline_answer_score,baseline_safety_score,k2_score,k2_retrieval_score,k2_answer_score,k2_safety_score,score_delta,retrieval_score_delta,answer_score_delta,safety_score_delta,baseline_answered,k2_answered,baseline_passed,k2_passed,baseline_result_count,k2_result_count,mcp_result_count,mcp_tool_call_count,mcp_tool_counts,baseline_artifact_matches,k2_artifact_matches,delta_artifact_matches,baseline_source_kind_coverage,k2_source_kind_coverage,delta_source_kind_coverage,baseline_module_hits,k2_module_hits,delta_module_hits,baseline_api_surface_hits,k2_api_surface_hits,delta_api_surface_hits,baseline_must_mention_coverage,k2_must_mention_coverage,delta_must_mention_coverage,baseline_source_uri_coverage,k2_source_uri_coverage,delta_source_uri_coverage,baseline_citation_coverage,k2_citation_coverage,delta_citation_coverage,baseline_hallucination_markers,k2_hallucination_markers,delta_hallucination_markers,baseline_missing_artifacts,k2_missing_artifacts,baseline_missing_source_kinds,k2_missing_source_kinds,baseline_missing_modules,k2_missing_modules,baseline_missing_api_surfaces,k2_missing_api_surfaces,baseline_missing_must_mentions,k2_missing_must_mentions,baseline_missing_source_uris,k2_missing_source_uris,baseline_missing_citations,k2_missing_citations,baseline_hallucination_markers,k2_hallucination_markers
1,flink-rest-dispatcher-rest-endpoint,Flink REST pattern for DispatcherRestEndpoint,"For Flink REST API 2.2.0, inspect `DispatcherRestEndpoint`: identify where dispatcher REST handlers are registered. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.841667,0.933333,0.75,1,0.716667,0.933333,0.5,0,True,True,False,True,0,22,22,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.5,0.5,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for DispatcherRestEndpoint; DispatcherRestEndpoint source; DispatcherRestEndpoint neighboring test,DispatcherRestEndpoint neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route; response,route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/dispatcher/DispatcherRestEndpoint.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/dispatcher/DispatcherRestEndpoint.java,,,
2,flink-rest-web-monitor-endpoint,Flink REST pattern for WebMonitorEndpoint,"For Flink REST API 2.2.0, inspect `WebMonitorEndpoint`: explain how the web monitor endpoint wires REST handlers. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.875,1,0.75,1,0.6875,1,0.375,0,True,True,False,True,0,24,24,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,0.5,-0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for WebMonitorEndpoint; WebMonitorEndpoint source; WebMonitorEndpoint neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,response,route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/webmonitor/WebMonitorEndpoint.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/webmonitor/WebMonitorEndpoint.java,,,
3,flink-rest-rest-server-endpoint,Flink REST pattern for RestServerEndpoint,"For Flink REST API 2.2.0, inspect `RestServerEndpoint`: trace the abstract REST endpoint lifecycle. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.875,1,0.75,1,0.75,1,0.5,0,True,True,False,True,0,15,15,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.5,0.5,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for RestServerEndpoint; RestServerEndpoint source; RestServerEndpoint neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route; response,route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/RestServerEndpoint.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/RestServerEndpoint.java,,,
4,flink-rest-abstract-rest-handler,Flink REST pattern for AbstractRestHandler,"For Flink REST API 2.2.0, inspect `AbstractRestHandler`: implement a request handler with the correct response-body contract. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.904167,0.933333,0.875,1,0.716667,0.933333,0.5,0,True,True,False,True,0,21,21,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for AbstractRestHandler; AbstractRestHandler source; AbstractRestHandler neighboring test,AbstractRestHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/AbstractRestHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/AbstractRestHandler.java,,,
5,flink-rest-job-details-handler,Flink REST pattern for JobDetailsHandler,"For Flink REST API 2.2.0, inspect `JobDetailsHandler`: use a neighboring job REST handler as an implementation analogue. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.9375,1,0.875,1,0.75,1,0.5,0,True,True,False,True,0,22,22,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobDetailsHandler; JobDetailsHandler source; JobDetailsHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobDetailsHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobDetailsHandler.java,,,
6,flink-rest-job-config-handler,Flink REST pattern for JobConfigHandler,"For Flink REST API 2.2.0, inspect `JobConfigHandler`: inspect how job configuration is exposed through REST. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.9375,1,0.875,1,0.75,1,0.5,0,True,True,False,True,0,21,21,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobConfigHandler; JobConfigHandler source; JobConfigHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobConfigHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobConfigHandler.java,,,
7,flink-rest-job-exceptions-handler,Flink REST pattern for JobExceptionsHandler,"For Flink REST API 2.2.0, inspect `JobExceptionsHandler`: inspect exception response handling for a job endpoint. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.9375,1,0.875,1,0.75,1,0.5,0,True,True,False,True,0,23,23,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobExceptionsHandler; JobExceptionsHandler source; JobExceptionsHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobExceptionsHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobExceptionsHandler.java,,,
8,flink-rest-job-accumulators-handler,Flink REST pattern for JobAccumulatorsHandler,"For Flink REST API 2.2.0, inspect `JobAccumulatorsHandler`: inspect accumulator response construction for a job endpoint. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.904167,0.933333,0.875,1,0.716667,0.933333,0.5,0,True,True,False,True,0,21,21,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobAccumulatorsHandler; JobAccumulatorsHandler source; JobAccumulatorsHandler neighboring test,JobAccumulatorsHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobAccumulatorsHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobAccumulatorsHandler.java,,,
9,flink-rest-job-plan-handler,Flink REST pattern for JobPlanHandler,"For Flink REST API 2.2.0, inspect `JobPlanHandler`: explain how plan metadata is returned through a REST handler. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.966667,0.933333,1,1,0.779167,0.933333,0.625,0,True,True,False,True,0,23,23,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,1,0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobPlanHandler; JobPlanHandler source; JobPlanHandler neighboring test,JobPlanHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobPlanHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobPlanHandler.java,,,
10,flink-rest-job-vertex-details-handler,Flink REST pattern for JobVertexDetailsHandler,"For Flink REST API 2.2.0, inspect `JobVertexDetailsHandler`: inspect a vertex-scoped REST endpoint implementation. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.904167,0.933333,0.875,1,0.716667,0.933333,0.5,0,True,True,False,True,0,19,19,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobVertexDetailsHandler; JobVertexDetailsHandler source; JobVertexDetailsHandler neighboring test,JobVertexDetailsHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexDetailsHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexDetailsHandler.java,,,
11,flink-rest-job-vertex-taskmanagers-handler,Flink REST pattern for JobVertexTaskManagersHandler,"For Flink REST API 2.2.0, inspect `JobVertexTaskManagersHandler`: inspect task-manager detail routing for a job vertex. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.25,0,0.5,1,0.966667,0.933333,1,1,0.716667,0.933333,0.5,0,True,True,False,True,0,20,20,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobVertexTaskManagersHandler; JobVertexTaskManagersHandler source; JobVertexTaskManagersHandler neighboring test,JobVertexTaskManagersHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexTaskManagersHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexTaskManagersHandler.java,,,
12,flink-rest-job-cancellation-handler,Flink REST pattern for JobCancellationHandler,"For Flink REST API 2.2.0, inspect `JobCancellationHandler`: trace cancellation request handling and response behavior. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,1,1,1,1,0.8125,1,0.625,0,True,True,False,True,0,17,17,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,1,0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobCancellationHandler; JobCancellationHandler source; JobCancellationHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobCancellationHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobCancellationHandler.java,,,
13,flink-rest-savepoint-handlers,Flink REST pattern for SavepointHandlers,"For Flink REST API 2.2.0, inspect `SavepointHandlers`: trace savepoint trigger and polling REST behavior. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.808333,0.866667,0.75,1,0.683333,0.866667,0.5,0,True,True,False,False,0,6,6,1,"{""k2_answer_with_sources"": 1}",0,0.333333,0.333333,0,1,1,0,1,1,0,1,1,0.5,0.5,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for SavepointHandlers; SavepointHandlers source; SavepointHandlers neighboring test,flink docs for Flink REST pattern for SavepointHandlers; SavepointHandlers source,docs; code; test,,docs; flink-runtime,,rest,,REST API; route,REST API; route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/savepoints/SavepointHandlers.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/savepoints/SavepointHandlers.java,,,
14,flink-rest-checkpoint-handlers,Flink REST pattern for CheckpointHandlers,"For Flink REST API 2.2.0, inspect `CheckpointHandlers`: trace checkpoint trigger and status REST behavior. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.6125,0.6,0.625,1,0.425,0.6,0.25,0,True,True,False,False,0,6,6,1,"{""k2_answer_with_sources"": 1}",0,0,0,0,1,1,0,1,1,0,0,0,0.75,0.25,-0.5,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for CheckpointHandlers; CheckpointHandlers source; CheckpointHandlers neighboring test,flink docs for Flink REST pattern for CheckpointHandlers; CheckpointHandlers source; CheckpointHandlers neighboring test,docs; code; test,,docs; flink-runtime,,rest,rest,route,REST API; route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/checkpoints/CheckpointHandlers.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/checkpoints/CheckpointHandlers.java,,,
15,flink-rest-job-resource-requirements-update-handler,Flink REST pattern for JobResourceRequirementsUpdateHandler,"For Flink REST API 2.2.0, inspect `JobResourceRequirementsUpdateHandler`: inspect request-body validation for job resource requirement updates. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.841667,0.933333,0.75,1,0.716667,0.933333,0.5,0,True,True,False,True,0,22,22,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.5,0.5,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobResourceRequirementsUpdateHandler; JobResourceRequirementsUpdateHandler source; JobResourceRequirementsUpdateHandler neighboring test,JobResourceRequirementsUpdateHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route; response,route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobResourceRequirementsUpdateHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobResourceRequirementsUpdateHandler.java,,,
16,flink-rest-job-submit-handler,Flink REST pattern for JobSubmitHandler,"For Flink REST API 2.2.0, inspect `JobSubmitHandler`: inspect job submission request handling. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.875,1,0.75,1,0.75,1,0.5,0,True,True,False,True,0,20,20,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.5,0.5,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobSubmitHandler; JobSubmitHandler source; JobSubmitHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route; response,route; response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobSubmitHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobSubmitHandler.java,,,
17,flink-rest-file-uploads,Flink REST pattern for FileUploads,"For Flink REST API 2.2.0, inspect `FileUploads`: inspect uploaded-file tracking for REST requests. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.125,0,0.25,1,0.9375,1,0.875,1,0.8125,1,0.625,0,True,True,False,True,0,20,20,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.5,0.75,0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for FileUploads; FileUploads source; FileUploads neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route; response,response,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/FileUploads.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/FileUploads.java,,,
18,flink-rest-dashboard-config-handler,Flink REST pattern for DashboardConfigHandler,"For Flink REST API 2.2.0, inspect `DashboardConfigHandler`: inspect cluster dashboard configuration responses. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.904167,0.933333,0.875,1,0.716667,0.933333,0.5,0,True,True,False,True,0,20,20,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for DashboardConfigHandler; DashboardConfigHandler source; DashboardConfigHandler neighboring test,DashboardConfigHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/cluster/DashboardConfigHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/cluster/DashboardConfigHandler.java,,,
19,flink-rest-cluster-overview-handler,Flink REST pattern for ClusterOverviewHandler,"For Flink REST API 2.2.0, inspect `ClusterOverviewHandler`: inspect cluster overview response construction. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.904167,0.933333,0.875,1,0.716667,0.933333,0.5,0,True,True,False,True,0,19,19,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for ClusterOverviewHandler; ClusterOverviewHandler source; ClusterOverviewHandler neighboring test,ClusterOverviewHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/cluster/ClusterOverviewHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/cluster/ClusterOverviewHandler.java,,,
20,flink-rest-taskmanagers-handler,Flink REST pattern for TaskManagersHandler,"For Flink REST API 2.2.0, inspect `TaskManagersHandler`: inspect task-manager collection response handling. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.25,0,0.5,1,0.904167,0.933333,0.875,1,0.654167,0.933333,0.375,0,True,True,False,True,0,18,18,1,"{""k2_answer_with_sources"": 1}",0,0.666667,0.666667,0,1,1,0,1,1,0,1,1,1,0.75,-0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for TaskManagersHandler; TaskManagersHandler source; TaskManagersHandler neighboring test,TaskManagersHandler neighboring test,docs; code; test,,docs; flink-runtime,,rest,,,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/taskmanager/TaskManagersHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/taskmanager/TaskManagersHandler.java,,,
21,flink-rest-taskmanager-details-handler,Flink REST pattern for TaskManagerDetailsHandler,"For Flink REST API 2.2.0, inspect `TaskManagerDetailsHandler`: inspect task-manager detail lookup behavior. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,0.9375,1,0.875,1,0.75,1,0.5,0,True,True,False,True,0,20,20,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,0.75,0,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for TaskManagerDetailsHandler; TaskManagerDetailsHandler source; TaskManagerDetailsHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,route,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/taskmanager/TaskManagerDetailsHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/taskmanager/TaskManagerDetailsHandler.java,,,
22,flink-rest-job-vertex-back-pressure-handler,Flink REST pattern for JobVertexBackPressureHandler,"For Flink REST API 2.2.0, inspect `JobVertexBackPressureHandler`: inspect back-pressure endpoint behavior for job vertices. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,1,1,1,1,0.8125,1,0.625,0,True,True,False,True,0,15,15,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,1,0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobVertexBackPressureHandler; JobVertexBackPressureHandler source; JobVertexBackPressureHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexBackPressureHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/JobVertexBackPressureHandler.java,,,
23,flink-rest-job-vertex-watermarks-handler,Flink REST pattern for JobVertexWatermarksHandler,"For Flink REST API 2.2.0, inspect `JobVertexWatermarksHandler`: inspect watermark reporting through REST. Which version-pinned docs, implementation class, and neighboring tests should anchor the answer?",codex_without_k2,codex_with_k2_real_mcp,0.1875,0,0.375,1,1,1,1,1,0.8125,1,0.625,0,True,True,False,True,0,18,18,1,"{""k2_answer_with_sources"": 1}",0,1,1,0,1,1,0,1,1,0,1,1,0.75,1,0.25,0,1,1,0,1,1,,,0,flink docs for Flink REST pattern for JobVertexWatermarksHandler; JobVertexWatermarksHandler source; JobVertexWatermarksHandler neighboring test,,docs; code; test,,docs; flink-runtime,,rest,,route,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/metrics/JobVertexWatermarksHandler.java,,repo://apache/flink@release-2.2.0/flink-runtime/src/main/java/org/apache/flink/runtime/rest/handler/job/metrics/JobVertexWatermarksHandler.java,,,
